Proportion,Layers,Nodes,Activations,Returns,36_Returns,60_Returns,Deployed_Capital,36_Deployed,60_Deployed
0.1,2,"[44, 36]","['softmax', 'relu']",,,,0.0,0.0,0.0
0.2625,2,"[35, 47]","['tanh', 'tanh']",6.5659,6.5181,10.0321,124753300.0,123056075.0,1697225.0
0.42500000000000004,2,"[36, 16]","['softmax', 'softmax']",,,,0.0,0.0,0.0
0.5875,2,"[60, 52]","['softmax', 'relu']",,,,0.0,0.0,0.0
0.75,2,"[59, 49]","['relu', 'relu']",6.274,6.2222,6.7759,884206475.0,801547825.0,82658650.0
0.9125,2,"[26, 48]","['tanh', 'tanh']",6.5004,6.2884,8.0528,1124290825.0,989209600.0,135081225.0
1.0750000000000002,2,"[30, 54]","['softmax', 'softmax']",3.6671,4.5074,2.0641,2271831775.0,1490495900.0,781335875.0
1.2375,2,"[20, 48]","['softmax', 'tanh']",6.0559,5.7389,7.7557,1418511300.0,1195526100.0,222985200.0
1.4000000000000001,2,"[53, 46]","['relu', 'relu']",6.2122,5.8458,7.8216,1527555300.0,1244313150.0,283242150.0
1.5625000000000002,2,"[41, 39]","['tanh', 'relu']",5.6951,5.4677,6.6167,1628382425.0,1306117075.0,322265350.0
1.725,2,"[43, 59]","['relu', 'relu']",6.0157,5.654,7.5128,1606122400.0,1293612075.0,312510325.0
1.8875000000000002,2,"[27, 19]","['tanh', 'tanh']",5.4888,5.2554,6.2742,1811111250.0,1396159475.0,414951775.0
2.0500000000000003,2,"[57, 44]","['softmax', 'softmax']",3.6302,4.5543,1.8856,2272756525.0,1485748350.0,787008175.0
2.2125000000000004,2,"[59, 39]","['softmax', 'softmax']",3.5299,4.5632,1.5645,2272665375.0,1489537625.0,783127750.0
2.375,2,"[32, 45]","['tanh', 'softmax']",3.5664,4.5636,1.6612,2272729875.0,1491830325.0,780899550.0
2.5375,2,"[20, 61]","['relu', 'softmax']",3.4809,4.4455,1.6415,2271865425.0,1490304900.0,781560525.0
2.7,2,"[45, 25]","['tanh', 'relu']",4.7837,4.7144,4.9524,2056536675.0,1458314375.0,598222300.0
2.8625000000000003,2,"[54, 39]","['tanh', 'tanh']",4.7788,4.9886,4.2773,2075800050.0,1463439800.0,612360250.0
3.0250000000000004,2,"[52, 56]","['relu', 'softmax']",3.3849,4.3478,1.5646,2272929400.0,1486617750.0,786311650.0
3.1875,2,"[57, 36]","['tanh', 'softmax']",3.5353,4.3261,2.0193,2278089400.0,1497138850.0,780950550.0
3.35,2,"[28, 47]","['softmax', 'tanh']",4.3108,4.6945,3.4652,2143731850.0,1474467525.0,669264325.0
3.5125,2,"[47, 33]","['tanh', 'softmax']",3.6093,4.5581,1.8083,2272093225.0,1488114125.0,783979100.0
3.6750000000000003,2,"[48, 22]","['relu', 'tanh']",3.6675,4.5209,2.0265,2273719325.0,1495816875.0,777902450.0
3.8375000000000004,2,"[16, 48]","['relu', 'tanh']",3.3688,4.4898,1.2692,2277807400.0,1484951350.0,792856050.0
4.0,2,"[18, 47]","['tanh', 'softmax']",3.5657,4.5888,1.616,2276169325.0,1492784375.0,783384950.0
0.1,3,"[40, 35, 24]","['relu', 'softmax', 'softmax']",,,,0.0,0.0,0.0
0.2625,3,"[53, 19, 51]","['relu', 'softmax', 'tanh']",,,,0.0,0.0,0.0
0.42500000000000004,3,"[61, 40, 60]","['softmax', 'relu', 'softmax']",,,,0.0,0.0,0.0
0.5875,3,"[17, 59, 53]","['softmax', 'softmax', 'tanh']",,,,0.0,0.0,0.0
0.75,3,"[29, 58, 19]","['softmax', 'relu', 'tanh']",,,,0.0,0.0,0.0
0.9125,3,"[31, 52, 16]","['softmax', 'softmax', 'softmax']",,,,0.0,0.0,0.0
1.0750000000000002,3,"[63, 21, 61]","['softmax', 'softmax', 'relu']",3.5528,4.4565,1.838,2268693900.0,1485715175.0,782978725.0
1.2375,3,"[56, 52, 41]","['tanh', 'softmax', 'tanh']",3.3892,4.3488,1.5595,2274901650.0,1492267150.0,782634500.0
1.4000000000000001,3,"[53, 28, 27]","['tanh', 'softmax', 'tanh']",3.708,4.5315,2.1385,2268174700.0,1487639300.0,780535400.0
1.5625000000000002,3,"[40, 47, 34]","['softmax', 'tanh', 'softmax']",3.5,4.4617,1.6842,2267818500.0,1482642975.0,785175525.0
1.725,3,"[61, 27, 44]","['tanh', 'relu', 'softmax']",3.7363,4.4778,2.326,2271627775.0,1488822275.0,782805500.0
1.8875000000000002,3,"[32, 53, 51]","['tanh', 'softmax', 'relu']",3.5595,4.4483,1.8795,2270610300.0,1484932100.0,785678200.0
2.0500000000000003,3,"[19, 43, 49]","['softmax', 'tanh', 'relu']",3.5427,4.4682,1.7712,2276481500.0,1495262650.0,781218850.0
2.2125000000000004,3,"[18, 60, 63]","['softmax', 'relu', 'relu']",3.5386,4.3914,1.9266,2275779975.0,1488439025.0,787340950.0
2.375,3,"[44, 31, 63]","['relu', 'relu', 'relu']",3.496,4.4349,1.7046,2276440625.0,1493620950.0,782819675.0
2.5375,3,"[33, 25, 17]","['relu', 'relu', 'tanh']",3.5733,4.5229,1.7598,2264788875.0,1486447975.0,778340900.0
2.7,3,"[63, 26, 47]","['softmax', 'softmax', 'tanh']",3.6108,4.579,1.7636,2268484100.0,1488398950.0,780085150.0
2.8625000000000003,3,"[59, 29, 44]","['relu', 'tanh', 'softmax']",3.6471,4.4466,2.1087,2268089625.0,1492455375.0,775634250.0
3.0250000000000004,3,"[49, 56, 55]","['tanh', 'relu', 'tanh']",4.5926,4.693,4.3662,2128004675.0,1473855375.0,654149300.0
3.1875,3,"[51, 28, 57]","['softmax', 'relu', 'softmax']",3.5193,4.4638,1.7469,2271068825.0,1481525550.0,789543275.0
3.35,3,"[44, 36, 59]","['relu', 'relu', 'tanh']",3.5967,4.4059,2.0479,2273241050.0,1493122650.0,780118400.0
3.5125,3,"[47, 31, 26]","['relu', 'softmax', 'relu']",3.4283,4.3644,1.6646,2273520050.0,1485187625.0,788332425.0
3.6750000000000003,3,"[63, 46, 58]","['softmax', 'tanh', 'relu']",3.3768,4.4664,1.308,2274904100.0,1490081700.0,784822400.0
3.8375000000000004,3,"[31, 29, 50]","['softmax', 'tanh', 'tanh']",3.4594,4.4626,1.5394,2275257200.0,1494411375.0,780845825.0
4.0,3,"[61, 52, 19]","['tanh', 'relu', 'relu']",3.6515,4.5497,1.9452,2270439950.0,1487449075.0,782990875.0
0.1,4,"[27, 59, 55, 47]","['softmax', 'tanh', 'softmax', 'softmax']",,,,0.0,0.0,0.0
0.2625,4,"[17, 54, 38, 35]","['tanh', 'tanh', 'relu', 'relu']",,,,0.0,0.0,0.0
0.42500000000000004,4,"[20, 34, 25, 57]","['relu', 'tanh', 'tanh', 'relu']",,,,0.0,0.0,0.0
0.5875,4,"[18, 33, 23, 31]","['softmax', 'tanh', 'tanh', 'softmax']",,,,0.0,0.0,0.0
0.75,4,"[23, 54, 29, 39]","['tanh', 'tanh', 'relu', 'softmax']",,,,0.0,0.0,0.0
0.9125,4,"[51, 28, 53, 58]","['tanh', 'softmax', 'softmax', 'relu']",,,,0.0,0.0,0.0
1.0750000000000002,4,"[51, 63, 20, 48]","['softmax', 'tanh', 'tanh', 'relu']",3.6031,4.4891,1.9044,2273574925.0,1494241700.0,779333225.0
1.2375,4,"[57, 40, 63, 46]","['tanh', 'softmax', 'softmax', 'relu']",3.4902,4.5099,1.5454,2272378825.0,1490753575.0,781625250.0
1.4000000000000001,4,"[50, 59, 39, 56]","['softmax', 'relu', 'softmax', 'relu']",3.6496,4.4589,2.0904,2271506400.0,1495386575.0,776119825.0
